"","subject_ID","breed","preregistered_data","condition_order","condition","trial_num","treat_location","response","age","sex","dog_training_experience","research_experience"
"1","messerli_md1_001","Labrador_Retriever","before_prereg","ost","ost",1,"L",1,7,"M",2.875,0
"2","messerli_md1_001","Labrador_Retriever","before_prereg","ost","ost",2,"R",1,7,"M",2.875,0
"3","messerli_md1_001","Labrador_Retriever","before_prereg","ost","ost",3,"L",1,7,"M",2.875,0
"4","messerli_md1_001","Labrador_Retriever","before_prereg","ost","ost",4,"R",1,7,"M",2.875,0
"5","messerli_md1_001","Labrador_Retriever","before_prereg","ost","ost",5,"L",1,7,"M",2.875,0
"6","messerli_md1_001","Labrador_Retriever","before_prereg","ost","ost",6,"L",1,7,"M",2.875,0
"7","messerli_md1_001","Labrador_Retriever","before_prereg","ost","ost",7,"R",0,7,"M",2.875,0
"8","messerli_md1_001","Labrador_Retriever","before_prereg","ost","ost",8,"R",0,7,"M",2.875,0
"9","messerli_md1_002","Border_Collie","before_prereg","ost","ost",1,"L",1,10,"F",3.875,3
"10","messerli_md1_002","Border_Collie","before_prereg","ost","ost",2,"R",1,10,"F",3.875,3
"11","messerli_md1_002","Border_Collie","before_prereg","ost","ost",3,"L",1,10,"F",3.875,3
"12","messerli_md1_002","Border_Collie","before_prereg","ost","ost",4,"R",0,10,"F",3.875,3
"13","messerli_md1_002","Border_Collie","before_prereg","ost","ost",5,"L",1,10,"F",3.875,3
"14","messerli_md1_002","Border_Collie","before_prereg","ost","ost",6,"L",1,10,"F",3.875,3
"15","messerli_md1_002","Border_Collie","before_prereg","ost","ost",7,"R",0,10,"F",3.875,3
"16","messerli_md1_002","Border_Collie","before_prereg","ost","ost",8,"R",1,10,"F",3.875,3
"17","messerli_md1_003","MIX","before_prereg","ost","ost",1,"R",1,7,"M",2.375,0
"18","messerli_md1_003","MIX","before_prereg","ost","ost",2,"L",0,7,"M",2.375,0
"19","messerli_md1_003","MIX","before_prereg","ost","ost",3,"L",0,7,"M",2.375,0
"20","messerli_md1_003","MIX","before_prereg","ost","ost",4,"R",1,7,"M",2.375,0
"21","messerli_md1_003","MIX","before_prereg","ost","ost",5,"L",1,7,"M",2.375,0
"22","messerli_md1_003","MIX","before_prereg","ost","ost",6,"R",1,7,"M",2.375,0
"23","messerli_md1_003","MIX","before_prereg","ost","ost",7,"R",1,7,"M",2.375,0
"24","messerli_md1_003","MIX","before_prereg","ost","ost",8,"L",1,7,"M",2.375,0
"25","messerli_md1_004","Border_Collie","before_prereg","ost","ost",1,"R",1,11,"M",2.5,3
"26","messerli_md1_004","Border_Collie","before_prereg","ost","ost",2,"L",0,11,"M",2.5,3
"27","messerli_md1_004","Border_Collie","before_prereg","ost","ost",3,"L",0,11,"M",2.5,3
"28","messerli_md1_004","Border_Collie","before_prereg","ost","ost",4,"R",0,11,"M",2.5,3
"29","messerli_md1_004","Border_Collie","before_prereg","ost","ost",5,"L",0,11,"M",2.5,3
"30","messerli_md1_004","Border_Collie","before_prereg","ost","ost",6,"R",1,11,"M",2.5,3
"31","messerli_md1_004","Border_Collie","before_prereg","ost","ost",7,"R",1,11,"M",2.5,3
"32","messerli_md1_004","Border_Collie","before_prereg","ost","ost",8,"L",0,11,"M",2.5,3
"33","messerli_md1_005","Samoyed","before_prereg","non","non",1,"R",1,9,"F",2.75,1
"34","messerli_md1_005","Samoyed","before_prereg","non","non",2,"L",1,9,"F",2.75,1
"35","messerli_md1_005","Samoyed","before_prereg","non","non",3,"R",0,9,"F",2.75,1
"36","messerli_md1_005","Samoyed","before_prereg","non","non",4,"L",0,9,"F",2.75,1
"37","messerli_md1_005","Samoyed","before_prereg","non","non",5,"L",0,9,"F",2.75,1
"38","messerli_md1_005","Samoyed","before_prereg","non","non",6,"R",1,9,"F",2.75,1
"39","messerli_md1_005","Samoyed","before_prereg","non","non",7,"L",1,9,"F",2.75,1
"40","messerli_md1_005","Samoyed","before_prereg","non","non",8,"R",1,9,"F",2.75,1
"41","messerli_md1_006","Rhodesian_Ridgeback","before_prereg","non","non",1,"R",1,1,"F",2.5,2
"42","messerli_md1_006","Rhodesian_Ridgeback","before_prereg","non","non",2,"L",1,1,"F",2.5,2
"43","messerli_md1_006","Rhodesian_Ridgeback","before_prereg","non","non",3,"R",0,1,"F",2.5,2
"44","messerli_md1_006","Rhodesian_Ridgeback","before_prereg","non","non",4,"L",1,1,"F",2.5,2
"45","messerli_md1_006","Rhodesian_Ridgeback","before_prereg","non","non",5,"L",0,1,"F",2.5,2
"46","messerli_md1_006","Rhodesian_Ridgeback","before_prereg","non","non",6,"R",1,1,"F",2.5,2
"47","messerli_md1_006","Rhodesian_Ridgeback","before_prereg","non","non",7,"L",1,1,"F",2.5,2
"48","messerli_md1_006","Rhodesian_Ridgeback","before_prereg","non","non",8,"R",1,1,"F",2.5,2
"49","messerli_md1_007","Rhodesian_Ridgeback","before_prereg","non","non",1,"L",0,6,"M",2.375,2
"50","messerli_md1_007","Rhodesian_Ridgeback","before_prereg","non","non",2,"R",1,6,"M",2.375,2
"51","messerli_md1_007","Rhodesian_Ridgeback","before_prereg","non","non",3,"L",0,6,"M",2.375,2
"52","messerli_md1_007","Rhodesian_Ridgeback","before_prereg","non","non",4,"R",0,6,"M",2.375,2
"53","messerli_md1_007","Rhodesian_Ridgeback","before_prereg","non","non",5,"L",0,6,"M",2.375,2
