"","subject_ID","condition","trial_num","treat_location","chosen_side_reli","response_orig","response_reli"
"1","messerli_md1_083","non",1,"L","L",1,1
"2","messerli_md1_083","non",2,"R","L",0,0
"3","messerli_md1_083","non",3,"L","L",1,1
"4","messerli_md1_083","non",4,"R","L",0,0
"5","messerli_md1_083","non",5,"L","L",1,1
"6","messerli_md1_083","non",6,"L","L",1,1
"7","messerli_md1_083","non",7,"R","L",0,0
"8","messerli_md1_083","non",8,"R","L",0,0
"9","messerli_md1_083","ost",1,"R","L",0,0
"10","messerli_md1_083","ost",2,"L","L",1,1
"11","messerli_md1_083","ost",3,"R","L",0,0
"12","messerli_md1_083","ost",4,"L","L",1,1
"13","messerli_md1_083","ost",5,"L","L",1,1
"14","messerli_md1_083","ost",6,"R","L",0,0
"15","messerli_md1_083","ost",7,"L","L",1,1
"16","messerli_md1_083","ost",8,"R","L",0,0
"17","messerli_md1_083","odour",1,"R","L",0,0
"18","messerli_md1_083","odour",2,"L","L",1,1
"19","messerli_md1_083","odour",3,"L","L",1,1
"20","messerli_md1_083","odour",4,"R","L",0,0
"21","messerli_md1_050","ost",1,"L","L",1,1
"22","messerli_md1_050","ost",2,"R","L",0,0
"23","messerli_md1_050","ost",3,"L","L",1,1
"24","messerli_md1_050","ost",4,"R","L",0,0
"25","messerli_md1_050","ost",5,"L","L",1,1
"26","messerli_md1_050","ost",6,"L","R",0,0
"27","messerli_md1_050","ost",7,"R","R",1,1
"28","messerli_md1_050","ost",8,"R","R",1,1
"29","messerli_md1_050","non",1,"R","L",0,0
"30","messerli_md1_050","non",2,"L","R",0,0
"31","messerli_md1_050","non",3,"L","L",1,1
"32","messerli_md1_050","non",4,"R","L",0,0
"33","messerli_md1_050","non",5,"L","L",1,1
"34","messerli_md1_050","non",6,"R","L",0,0
"35","messerli_md1_050","non",7,"R","L",0,0
"36","messerli_md1_050","non",8,"L","R",0,0
"37","messerli_md1_050","odour",1,"R","L",0,0
"38","messerli_md1_050","odour",2,"L","R",0,0
"39","messerli_md1_050","odour",3,"L","L",1,1
"40","messerli_md1_050","odour",4,"R","L",0,0
"41","messerli_md1_054","ost",1,"L","R",0,0
"42","messerli_md1_054","ost",2,"R","R",1,1
"43","messerli_md1_054","ost",3,"L","L",1,1
"44","messerli_md1_054","ost",4,"R","L",0,0
"45","messerli_md1_054","ost",5,"L","L",1,1
"46","messerli_md1_054","ost",6,"L","L",1,1
"47","messerli_md1_054","ost",7,"R","L",0,0
"48","messerli_md1_054","ost",8,"R","R",1,1
"49","messerli_md1_054","non",1,"R","R",1,1
"50","messerli_md1_054","non",2,"L","R",0,0
"51","messerli_md1_054","non",3,"L","R",0,0
"52","messerli_md1_054","non",4,"R","R",1,1
"53","messerli_md1_054","non",5,"L","R",0,0
"54","messerli_md1_054","non",6,"R","L",0,0
"55","messerli_md1_054","non",7,"R","R",1,1
"56","messerli_md1_054","non",8,"L","L",1,1
"57","messerli_md1_054","odour",1,"R","R",1,1
"58","messerli_md1_054","odour",2,"L","L",1,1
"59","messerli_md1_054","odour",3,"L","R",0,0
"60","messerli_md1_054","odour",4,"R","L",0,0
"61","messerli_md1_036","non",1,"R","L",0,0
"62","messerli_md1_036","non",2,"L","L",1,1
"63","messerli_md1_036","non",3,"L","L",1,1
"64","messerli_md1_036","non",4,"R","L",0,0
"65","messerli_md1_036","non",5,"L","L",1,1
"66","messerli_md1_036","non",6,"L","L",1,1
"67","messerli_md1_036","non",7,"R","L",0,0
"68","messerli_md1_036","non",8,"R","L",0,0
"69","messerli_md1_036","ost",1,"R","L",0,0
"70","messerli_md1_036","ost",2,"L","L",1,1
"71","messerli_md1_036","ost",3,"R","L",0,0
"72","messerli_md1_036","ost",4,"L","L",1,1
"73","messerli_md1_036","ost",5,"L","L",1,1
"74","messerli_md1_036","ost",6,"R","L",0,0
"75","messerli_md1_036","ost",7,"L","L",1,1
"76","messerli_md1_036","ost",8,"R","L",0,0
"77","messerli_md1_036","odour",1,"R","L",0,0
"78","messerli_md1_036","odour",2,"L","L",1,1
"79","messerli_md1_036","odour",3,"L","L",1,1
"80","messerli_md1_036","odour",4,"R","L",0,0
"81","messerli_md1_079","ost",1,"L","L",1,1
"82","messerli_md1_079","ost",2,"R","R",1,1
"83","messerli_md1_079","ost",3,"L","L",1,1
"84","messerli_md1_079","ost",4,"R","R",1,1
"85","messerli_md1_079","ost",5,"L","L",1,1
"86","messerli_md1_079","ost",6,"L","L",1,1
"87","messerli_md1_079","ost",7,"R","R",1,1
"88","messerli_md1_079","ost",8,"R","R",1,1
"89","messerli_md1_079","non",1,"R","R",1,1
"90","messerli_md1_079","non",2,"L","L",1,1
"91","messerli_md1_079","non",3,"L","L",1,1
"92","messerli_md1_079","non",4,"R","L",0,0
"93","messerli_md1_079","non",5,"L","L",1,1
"94","messerli_md1_079","non",6,"R","R",1,1
"95","messerli_md1_079","non",7,"R","L",0,0
"96","messerli_md1_079","non",8,"L","L",1,1
"97","messerli_md1_079","odour",1,"R","R",1,1
"98","messerli_md1_079","odour",2,"L","R",0,0
"99","messerli_md1_079","odour",3,"L","L",1,1
"100","messerli_md1_079","odour",4,"R","L",0,0
"101","messerli_md1_047","non",1,"R","R",1,1
"102","messerli_md1_047","non",2,"L","L",1,1
"103","messerli_md1_047","non",3,"R","R",1,1
"104","messerli_md1_047","non",4,"L","R",0,0
"105","messerli_md1_047","non",5,"L","R",0,0
"106","messerli_md1_047","non",6,"R","R",1,1
"107","messerli_md1_047","non",7,"L","R",0,0
"108","messerli_md1_047","non",8,"R","L",0,0
"109","messerli_md1_047","ost",1,"L","L",1,1
"110","messerli_md1_047","ost",2,"R","R",1,1
"111","messerli_md1_047","ost",3,"R","R",1,1
"112","messerli_md1_047","ost",4,"L","L",1,1
"113","messerli_md1_047","ost",5,"R","R",1,1
"114","messerli_md1_047","ost",6,"L","L",1,1
